time,shortwave_radiation,temperature_2m,cloud_cover
2020-05-15T00:00,0.0,29.5,13
2020-05-15T01:00,0.0,28.7,8
2020-05-15T02:00,0.0,28.0,16
2020-05-15T03:00,0.0,27.5,39
2020-05-15T04:00,0.0,27.0,36
2020-05-15T05:00,0.0,26.4,69
2020-05-15T06:00,20.0,26.6,47
2020-05-15T07:00,170.0,27.5,62
2020-05-15T08:00,390.0,29.2,6
2020-05-15T09:00,609.0,31.5,32
2020-05-15T10:00,789.0,33.7,66
2020-05-15T11:00,910.0,35.8,87
2020-05-15T12:00,964.0,37.3,94
2020-05-15T13:00,943.0,38.3,88
2020-05-15T14:00,853.0,39.1,57
2020-05-15T15:00,686.0,39.5,29
2020-05-15T16:00,462.0,39.6,52
2020-05-15T17:00,253.0,39.0,21
2020-05-15T18:00,63.0,37.4,33
2020-05-15T19:00,0.0,36.6,72
2020-05-15T20:00,0.0,35.2,66
2020-05-15T21:00,0.0,34.0,38
2020-05-15T22:00,0.0,32.9,21
2020-05-15T23:00,0.0,31.9,26
2020-05-16T00:00,0.0,31.0,30
2020-05-16T01:00,0.0,30.4,9
2020-05-16T02:00,0.0,30.0,24
2020-05-16T03:00,0.0,29.4,33
2020-05-16T04:00,0.0,28.9,11
2020-05-16T05:00,0.0,28.5,11
2020-05-16T06:00,18.0,29.0,97
2020-05-16T07:00,158.0,30.1,99
2020-05-16T08:00,334.0,31.5,98
2020-05-16T09:00,564.0,33.2,96
2020-05-16T10:00,758.0,34.9,91
2020-05-16T11:00,868.0,36.4,31
2020-05-16T12:00,930.0,37.7,6
2020-05-16T13:00,880.0,39.0,24
2020-05-16T14:00,704.0,39.3,69
2020-05-16T15:00,577.0,39.2,69
2020-05-16T16:00,350.0,35.8,100
2020-05-16T17:00,213.0,37.1,100
2020-05-16T18:00,52.0,36.7,100
2020-05-16T19:00,0.0,36.4,100
2020-05-16T20:00,0.0,34.4,100
2020-05-16T21:00,0.0,33.7,100
2020-05-16T22:00,0.0,33.4,100
2020-05-16T23:00,0.0,33.2,100
2020-05-17T00:00,0.0,31.5,100
2020-05-17T01:00,0.0,31.3,100
2020-05-17T02:00,0.0,30.6,100
2020-05-17T03:00,0.0,30.2,100
2020-05-17T04:00,0.0,30.0,99
2020-05-17T05:00,0.0,29.2,85
2020-05-17T06:00,19.0,29.4,100
2020-05-17T07:00,145.0,30.1,100
2020-05-17T08:00,337.0,31.4,100
2020-05-17T09:00,530.0,33.0,100
2020-05-17T10:00,694.0,34.4,99
2020-05-17T11:00,712.0,35.6,98
2020-05-17T12:00,861.0,37.2,100
2020-05-17T13:00,602.0,37.6,100
2020-05-17T14:00,438.0,38.1,100
2020-05-17T15:00,466.0,38.4,100
2020-05-17T16:00,232.0,36.4,100
2020-05-17T17:00,110.0,35.0,100
2020-05-17T18:00,42.0,34.6,100
2020-05-17T19:00,0.0,33.9,100
2020-05-17T20:00,0.0,34.0,100
2020-05-17T21:00,0.0,33.9,100
2020-05-17T22:00,0.0,33.1,100
2020-05-17T23:00,0.0,30.5,100
2020-05-18T00:00,0.0,28.0,100
2020-05-18T01:00,0.0,28.4,100
2020-05-18T02:00,0.0,28.4,100
2020-05-18T03:00,0.0,28.6,100
2020-05-18T04:00,0.0,28.6,100
2020-05-18T05:00,0.0,28.6,98
2020-05-18T06:00,19.0,28.8,80
2020-05-18T07:00,138.0,30.1,52
2020-05-18T08:00,346.0,31.9,100
2020-05-18T09:00,534.0,34.0,100
2020-05-18T10:00,735.0,36.0,100
2020-05-18T11:00,780.0,37.5,100
2020-05-18T12:00,870.0,38.8,100
2020-05-18T13:00,637.0,32.4,100
2020-05-18T14:00,383.0,32.1,100
2020-05-18T15:00,322.0,34.8,100
2020-05-18T16:00,298.0,35.9,100
2020-05-18T17:00,143.0,35.6,100
2020-05-18T18:00,43.0,34.3,100
